"The Diving Bell and the Butterfly","null","VINTAGE INTERNATIONAL","Le Scaphandre et le Papillon: 潛水鐘與蝴蝶","null","144","9780307389251","8.4","46"
"帅狗杜明尼克","null","新蕾出版社","(美)威廉·史代格 著/绘","Dominic","163","9787530731734","8.2","97"
"潛水鐘與蝴蝶","null","大塊文化出版有限公司","尚多明尼克·鮑比","null","127","9789578468337","8.1","537"
"明尼苏达书简","null","线装书局","王曙光","null","264","9787801061188","7.7","34"
"潛水鐘與蝴蝶","null","大塊文化出版股份有限公司","Le Scaphandre et le Papillon: The Diving Bell and the Butterfly","null","164","9789867059406","7.6","21"
"我独自走过中国","null","大众文艺出版社","多明尼卡?芭兰","null","151","9787800948268","7.4","137"
"明尼苏达札记","null","北京大学出版社","陈心想","null","324","9787301201237","7.3","17"
"独自走过中国的哈佛女孩","null","漓江出版社","多明尼卡?芭兰","null","192","9787540728908","7.0","29"
"鸡窝里的狐狸-私有化是怎样威胁民主的","null","中国社科","[美]希·卡思、伊丽莎白·明尼克","null","344","9787500464235","6.6","15"
"明尼苏达多相人格测验","null","null","null","null","null","9787116039971","0.0","0"
"帅狗杜明尼克","null","新蕾","威廉·史塔克","null","163","9787530749791","0.0","0"
"?????","null","新疆美术摄影出版社","人生（维吾尔文）","null","null","9787546934112","0.0","0"
"贏在談判","null","麥格羅希爾","多明尼克.","null","256","9789574939862","0.0","0"
"雄辩老将","null","安徽教育","约翰·昆西·亚当斯传","null","162","9787533644598","0.0","0"
"父親的最後30堂哲學課","null","麥田出版社","Les Bohneurs De Sophie","null","192","9789861731230","0.0","0"
"帅狗杜明尼克","null","新蕾出版社","威廉·史代格","null","172 页","9787875307311","0.0","0"
"給臭女生的小情書","null","聯經出版公司","多明尼克?布里松（Dominique Brisson）","多明尼克?布里松（Dominique Brisson）","32","9789570837735","0.0","0"
"明尼苏达多相人格调查表:最新研究与多类表解释","null","科学出版社","纪术茂","null","506","9787030122346","0.0","0"
"電影編劇","null","五南","多明尼克.巴宏-阿勒提耶(Dominique Parent-Altietr)","null","null","9789571182940","0.0","0"
"狗把功课吃掉了","null","希代書版集團","別再讓藉口吃掉您的成就，張怡筠博士與您一起挑戰責任EQ","null","253","9789578089358","0.0","0"
"知識經濟學","null","天下文化","多明尼克","null","344","9789862160558","0.0","0"
"春德的盛宴","null","太界文化創意產業","威尼斯雙年展謝春德個展「春德的盛宴」展覽專輯. 第54屆","null","null","9789868724303","0.0","0"
"阿里巴巴与四十大盗","null","广西师范大学出版社","阿里巴巴与四十大盗","天方夜谭","36","9787549535354","0.0","0"
"财政联邦主义下的交通设施投融资：以美国明尼苏达州为例","null","上海世纪出版股份有限公司","赵志荣","null","183","9787543225756","0.0","0"
"不存在的妹妹","null","商周","多明尼克.莫恰努(Dominique Moceanu)","null","288","9789862728703","0.0","0"
"聖經究竟怎麼說同性戀？","null","友善築橋工作室","海明尼亞克博士","null","216","9789869168106","0.0","0"
"帥狗杜明尼克","null","小魯文化","威廉．史代格","DOMINIC","176","9789862110997","0.0","0"
"數位之手","null","臺灣美術館","繪畫&gt;&gt;素描&gt;&gt;拍攝&gt;&gt;數位操作","null","null","9789860240733","0.0","0"
"情迷巧克力","null","香港三聯","道明尼克．埃諾 苗曉霞譯","null","null","9789620422317","0.0","0"
"我獨自走過中國","null","超越","多明尼卡?芭蘭 BARAN, DOMINIKA","RATHER TAKE THE HARD SEAT","null","9789579803601","0.0","0"
